airport_code,airport_name,latitude,longitude
01A,Afognak Lake Airport,58.10944444,-152.9066667
03A,Bear Creek Mining Strip,65.54805556,-161.0716667
04A,Lik Mining Camp,68.08333333,-163.1666667
05A,Little Squaw Airport,67.57,-148.1838889
06A,Kizhuyak Bay,57.74527778,-152.8827778
07A,Klawock Seaplane Base,55.55472222,-133.1016667
08A,Elizabeth Island Airport,59.15694444,-151.8291667
09A,Augustin Island,59.36277778,-153.4305556
1B1,Columbia County,42.29138889,-73.71027778
1G4,Grand Canyon West,35.98611111,-113.8169444
1N7,Blairstown Airport,40.97111111,-74.9975
8F3,Crosbyton Municipal,33.62388889,-101.2408333
A01,Blair Lake,64.36361111,-147.3638889
A02,Deadmans Bay Airport,57.06666667,-153.9377778
A03,Hallo Bay Airport,58.4575,-154.0233333
A04,Red Lake Airport,57.27722222,-154.3422222
A05,Shell Lake Airport,61.96388889,-151.5558333
A06,Navigator Airstrip,65.65555556,-165.3563889
A07,Roland Norton Memorial,66.76611111,-160.1527778
A08,Pillar Bay Airport,56.59805556,-134.2427778
A09,Johnstone Point Airport,60.48166667,-146.5841667
KTH,Tikchik Lodge Airport,59.95555556,-158.4805556
A11,Bell Creek Airport,60.78388889,-159.5402778
A12,Cinnabar Airport,60.78527778,-158.8644444
A13,Mountaintop Mine Airport,61.39027778,-157.9955556
A14,Whitebear Airport,61.18888889,-159.8583333
A15,Puviaq Airport,70.71555556,-154.4069444
A16,Arley Lake Airport,70.74694444,-155.3608333
A17,Port Vita Airport,58.06555556,-153.0725
A18,Kantishna Airport,63.54166667,-150.9938889
A20,Alpine Airstrip,70.34416667,-150.9447222
A21,Serpentine Airport,65.85138889,-164.7027778
A22,Driftwood Bay Airport,53.97277778,-166.8569444
A23,Bradley Lake Airport,59.77611111,-151.9636111
A24,Chilkat Lake Airport,59.33166667,-135.8966667
A25,Nugget Creek Airport,59.28833333,-136.1738889
A26,Ivotuk Airstrip,68.48333333,-155.7333333
A27,Pogo Mines Airport,64.44,-144.9363889
A28,Ayakulik River Airport,57.25388889,-154.4222222
A29,Kiluda Bay Airport,57.32305556,-153.1494444
A30,Terror Lake Airport,57.96388889,-153.0583333
A31,Selief Bay Airport,58.98277778,-153.1833333
A34,Laura Lake Airport,58.36194444,-152.3122222
A36,Deep Bay Airport,55.56027778,-131.6555556
A37,Kako Airport,61.89888889,-161.4397222
A38,Molly Creek Airport,64.09722222,-143.2666667
A39,Ptarmigan Lake Airport,61.86611111,-141.1597222
A40,Cape Simpson Airport,71.05694444,-154.7283333
A41,Kogru River Airport,70.57472222,-152.2588889
A42,Teshepkuk Lake Airport,70.35833333,-153.1966667
A43,Trident Basin Seaplane Base,57.78083333,-152.3911111
A45,Lake Florence Airport,57.81666667,-134.5833333
A46,Lake Hasselborg Airport,57.7,-134.2666667
A47,Distin Lake Airport,57.61666667,-134.3666667
A48,Port Hobron Airport,57.15,-153.15
A49,Mooseville Airstrip Airport,70.28444444,-152.2119444
A50,Big Bay Airport,58.5625,-152.5961111
A51,Wien Lake Airport,64.35277778,-151.275
A52,Silver Salmon Creek Airport,59.96388889,-152.6822222
A53,Blear Lake Airport,64.33333333,-147.5
A54,Cannery Bay Airport,53.68333333,-166.75
A56,Johnsons Landing,56.03666667,-160.2661111
A57,International Seafoods Airport,58.26666667,-157.5333333
A58,Cosna River Airport,64.5,-151.6666667
A59,Ivatuk Airport,68.48777778,-155.7575
A61,Cape Sarichef Airport,54.5825,-164.9144444
A62,Taylor Mountain,60.86777778,-157.3919444
A63,Coal Creek,65.31138889,-143.1355556
A65,Karluk Portage Airport,57.53833333,-154.1644444
A66,Hope Airport,60.90722222,-149.6227778
A67,Viekoda Bay Airport,57.84944444,-153.1152778
A69,Cathedral Strip,55.74,-162.1252778
A70,Village Islands Airport,57.77416667,-153.5447222
A71,Bear Cove Farm,59.73833333,-151.03
A72,Chinitna Bay Airport,59.83333333,-152.5847222
A73,McKinley National Park,63.7325,-148.9105556
A74,Dog Fish Bay,59.24111111,-151.8772222
A75,Malina Bay Airport,58.17194444,-152.8941667
A76,Red Fox Bay Airport,58.46444444,-152.5930556
A77,Shearwater Airport,57.34333333,-152.8972222
A78,Lake,71.03,-154.4436111
A79,Cape Simpson No. 1,71.50166667,-154.0338889
A80,Cape Simpson No. 7,70.57388889,-155.3213889
A81,Cape Simpson #1,70.66277778,-154.8366667
A82,Nikiski Private Airstrip,60.69027778,-151.2888889
A83,Petrof Point Airport,59.37638889,-150.765
A84,Denali West Lodge Private,63.75555556,-147.93
A85,Big River Airport,61.85944444,-154.2766667
A87,Carry Inlet Airport,58.58305556,-152.4458333
A89,Montague Island Airport,59.925,-147.5166667
A90,Shannon Pond Airport,59.03916667,-158.4638889
A91,Omalik Lagoon Airport,69.15555556,-163.4972222
A92,Omolik Lagoon Airport,69.14805556,-163.5102778
A93,Bradley Lake Project Airport,59.79166667,-151.2666667
A94,Ice Strip,70.57416667,-155.3180556
A95,Ice Strip,70.31194444,-153.2491667
A96,Ice Strip,70.98083333,-157.095
A97,Akulik Air Strip,68.98555556,-163.4797222
A98,Deadfall Air Strip,69.17083333,-163.2563889
A99,Eagle Creek Airport,68.67666667,-162.6469444
AA1,Ice Kong,59.95277778,-162.6169444
AA4,Glacier Split,59.63333333,-151.2083333
AA5,Selby Lake Airport,66.95583333,-155.615
AAA,Anaa Airport,-17.3525,-145.51
AAB,Arrabury Station,-26.7,141.0416667
AAC,El Arish International,31.07333333,33.83583333
AAE,Rabah Bitat,36.82222222,7.80944444
AAF,Apalachicola Regional Cleve Randolph Field,29.7275,-85.0275
AAH,Aachen/Merzbruck,50.82305556,6.1875
AAI,Arraias Airport,-13.02583333,-46.88361111
AAL,Aalborg Airport,57.09277778,9.84916667
AAM,Malamala,-24.81694444,31.54416667
AAN,Al Ain International,24.26194444,55.6075
AAO,Anaco Airport,9.43,-64.47083333
AAQ,Anapa Airport,45.00222222,37.34722222
AAR,Aarhus Airport,56.3,10.61888889
AAU,Asau W Sam,-13.51666667,-172.65
AAX,Araxa Airport,-19.56333333,-46.96027778
ABD,Abadan Airport,30.36527778,48.23305556
ABE,Lehigh Valley International,40.65222222,-75.44055556
ABI,Abilene Regional,32.41138889,-99.68194444
ABJ,Felix Houphouet Boigny Abidjan,5.26138889,-3.92583333
ABK,Kebri Dahar,6.73277778,44.24138889
ABL,Ambler River,67.0875,-157.8458333
ABQ,Albuquerque International Sunport,35.03888889,-106.6083333
ABR,Aberdeen Regional,45.44833333,-98.4225
ABS,Abu Simbel Airport,22.37583333,31.61166667
ABT,Al-Baha Airport,20.29611111,41.63416667
ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
ABX,Albury Airport,-36.06777778,146.9580556
ABY,Southwest Georgia Regional,31.53555556,-84.19444444
ABZ,Aberdeen Dyce,57.2025,-2.19805556
ACA,General Juan N Alvarez International,16.75694444,-99.75388889
ACB,Antrim County,44.98861111,-85.19833333
ACC,Accra Kotoka International,5.60444444,-0.1675
ACE,Lanzarote,28.94555556,-13.60527778
ACH,St Gallen Altenrhein,47.485,9.56
ACI,Alderney Airport,49.70666667,-2.21444444
ACK,Nantucket Memorial,41.25305556,-70.06
ACT,Waco Regional,31.61222222,-97.23027778
ACU,Achutupo Airport,8.43333333,-77.96666667
ACV,Arcata,40.97777778,-124.1083333
ACY,Atlantic City International,39.4575,-74.57722222
ADA,Adana International,36.98222222,35.28027778
ADB,Adnan Menderes,38.29222222,27.15583333
ADC,Andakombe Airport,-7.13638889,145.7438889
ADD,Bole International,8.97805556,38.79944444
ADE,Aden International,12.82944444,45.02888889
ADJ,Marka International,31.97277778,35.99166667
ADK,Adak,51.87805556,-176.6461111
ADL,Adelaide International,-34.945,138.5305556
ADM,Ardmore Municipal,34.30416667,-97.02055556
ADN,Andes Airport,5.69777778,-75.88027778
ADO,Andamooka Airport,-30.43777778,137.1372222
ADQ,Kodiak Airport,57.75,-152.4938889
ADS,Addison,32.96861111,-96.83638889
ADW,Joint Base Andrews,38.81083333,-76.86694444
ADX,RAF Leuchars,56.37277778,-2.86861111
ADZ,Gustavo Rojas Pinilla,12.58361111,-81.71138889
DHF,Al Dhafra Air Base,24.24833333,54.54777778
AED,Aleneva Airport,58.03333333,-152.9
AEG,Aek Godang,1.4,99.43055556
AEH,Abeche Airport,13.8475,20.84333333
AEO,Aioun El Atrouss Airport,16.71138889,-9.63777778
AEP,Aeroparque Jorge Newbery,-34.55916667,-58.41583333
AER,Adler/Sochi Airport,43.45,39.93333333
AES,Vigra,62.56027778,6.11027778
AET,Allakaket Airport,66.55194444,-152.6222222
AEX,Alexandria International,31.3275,-92.54861111
AEY,Akureyri Airport,65.65666667,-18.07194444
AFA,San Rafael Airport,-34.58777778,-68.40333333
AFF,USAF Academy Airfield,38.97416667,-104.8177778
AFK,Nebraska City Municipal,40.60666667,-95.86666667
AFO,Afton Municipal,42.70888889,-110.9422222
AFP,Anson County,35.02055556,-80.07722222
AFW,Fort Worth Alliance,32.98777778,-97.31888889
AFY,Afyon Airport,38.72638889,30.60111111
AGA,Inezgane,30.38138889,-9.54611111
AGB,Augsburg Airport,48.42527778,10.93194444
AGC,Allegheny County,40.35444444,-79.92916667
AGF,Agen La Garenne,44.17388889,0.59305556
AGG,Angoram Airport,-4.06583333,144.0738889
AGH,Angelholm,56.29166667,12.855
AGK,Kagua Airport,-6.40333333,143.8466667
AGL,Wanigela Airport,-9.3375,149.1555556
AGN,Angoon Seaplane Base,57.50388889,-134.5833333
AGP,Malaga Costa del Sol,36.68,-4.49583333
AGQ,Agrinion Airport,38.60194444,21.35111111
AGR,Agra Airport,27.15777778,77.96083333
AGS,Augusta Regional at Bush Field,33.37,-81.96444444
AGT,Guarani International,-25.45555556,-54.84361111
AGU,Jesus Teran International,21.70083333,-102.3180556
AGV,Oswaldo Guevara Mujica,9.55333333,-69.2375
AGX,Agatti Island Airport,10.83333333,72.2
AHA,Naha AB,26.19194444,127.6477778
AHB,Abha Airport,18.24027778,42.65666667
AHD,Ardmore Downtown Executive,34.14694444,-97.12277778
AHN,Athens/Ben Epps,33.94861111,-83.32638889
AHO,Alghero,40.63222222,8.29083333
AHS,Auas,15.47277778,-84.35305556
AHT,Amchitka,51.37861111,179.2586111
AHU,Cherif El Idrissi International,35.17722222,-3.83944444
AIA,Alliance Municipal,42.05333333,-102.8036111
AIB,Anita Bay Airport,56.19,-132.4458333
AID,Anderson Municipal-Darlington Field,40.10861111,-85.61305556
AIK,Aiken Municipal,33.64944444,-81.685
AIN,Wainwright Airport,70.63805556,-159.9947222
AIT,Aitutaki Airport,-18.83722222,-159.7611111
AIY,Bader Field,39.36,-74.45722222
AIZ,Lee C Fine Memorial,38.09611111,-92.54944444
AJA,Ajaccio Napoleon Bonaparte,41.92166667,8.80111111
AJF,Al Jouf,29.785,40.1
AJJ,Akjoujt Airport,19.72805556,-14.38527778
AJL,Lengpui,23.84055556,92.61972222
AJN,Ouani,-12.13111111,44.43055556
AJR,Arvidsjaur Airport,65.59027778,19.28194444
AJU,Santa Maria,-10.98388889,-37.07027778
AJY,Mano Dayak,16.96611111,8
AKB,Atka Airport,52.22055556,-174.2061111
AKC,Akron Fulton International,41.0375,-81.46694444
AKF,Kufra,24.17888889,23.31388889
AKI,Akiak Airport,60.90277778,-161.2305556
AKJ,Asahikawa Airport,43.67083333,142.4475
AKK,Akhiok Airport,56.93861111,-154.1825
AKL,Auckland International,-37.00805556,174.7916667
AKN,King Salmon Airport,58.67638889,-156.6486111
AKO,Colorado Plains Regional,40.17555556,-103.2219444
AKP,Anaktuvuk Pass Airport,68.13361111,-151.7433333
AKR,Akure Airport,7.24666667,5.30111111
AKS,Auki Airport,-8.7025,160.6816667
AKT,Akrotiri Airport,34.59027778,32.98777778
AKX,Aktyubinsk Airport,50.25,57.21666667
AKY,Sittwe Airport,20.13277778,92.8725
AL1,Albertville Regional-Thomas J Brumlik Field,34.22916667,-86.25583333
AL2,Shelby County,33.17777778,-86.78333333
AL3,Huntsville Executive Airport Tom Sharp Jr,34.85944444,-86.5575
ALA,Almaty Airport,43.35555556,77.04388889
ALB,Albany International,42.74916667,-73.80194444
ALC,Alicante Elche,38.28222222,-0.55805556
ALE,Alpine Casparis Municipal,30.38416667,-103.6836111
ALF,Alta Airport,69.97611111,23.37166667
ALG,Houari Boumediene,36.69083333,3.21555556
ALH,Albany Airport,-34.94333333,117.8088889
ALI,Alice International,27.74083333,-98.02694444
ALJ,Alexander Bay Airport,-28.575,16.53333333
ALK,Asela Airport,7.58333333,39.06666667
ALM,Alamogordo White Sands Regional,32.84138889,-105.9888889
ALN,St. Louis Regional,38.89,-90.04611111
ALO,Waterloo Regional,42.55694444,-92.40027778
ALP,Aleppo International,36.18055556,37.22444444
ALQ,Alegrete Airport,-29.79972222,-55.76333333
ALR,Alexandra Airport,-45.21138889,169.3716667
ALS,San Luis Valley Regional/Bergman Field,37.435,-105.8677778
ALT,Alenquer Airport,-1.94055556,-54.74027778
ALU,Alula Airport,11.98333333,50.78333333
ALW,Walla Walla Regional,46.09527778,-118.2858333
ALX,Thomas C. Russell Field,32.91472222,-85.96305556
ALY,Alexandria International,31.18361111,29.94861111
ALZ,Alitak Seaplane Base,56.89583333,-154.2458333
AMA,Rick Husband Amarillo International,35.21944444,-101.7058333
AMD,Ahmedabad Airport,23.07722222,72.63444444
AMF,Ama Airport,-4.10166667,141.6697222
